Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Magdalena,2022-03-08 06:53:39,00:17:04,,Kroniki Seinfelda: Sezon 7: Cadillac: części 1 i 2 (Odcinek 14),,Chrome PC (Cadmium),00:43:34,00:43:34,PL (Poland)
Magdalena,2022-03-08 06:51:57,00:01:05,Autoplayed: user action: None; ,Def Comedy Jam 25 (zwiastun),TRAILER,Chrome PC (Cadmium),00:00:00,00:00:00,PL (Poland)
Magdalena,2022-03-07 22:33:44,00:00:16,Autoplayed: user action: None; ,Sezon 2 (zwiastun): L’Agence: Luksusowe nieruchomości,TRAILER,Chrome PC (Cadmium),00:00:16,00:00:16,PL (Poland)
Magdalena,2022-03-07 21:30:39,00:51:29,,Deon Cole: Cole Hearted,,Chrome PC (Cadmium),01:09:07,01:09:07,PL (Poland)
Magdalena,2022-03-07 21:30:22,00:00:08,Autoplayed: user action: None; ,Pine Gap: Sezon 1 (zwiastun),TRAILER,Chrome PC (Cadmium),00:00:08,00:00:08,PL (Poland)
Magdalena,2022-03-07 21:28:38,00:00:40,Autoplayed: user action: None; ,Game Night_hook_primary_16x9,HOOK,Chrome PC (Cadmium),00:00:00,00:00:00,PL (Poland)
Magdalena,2022-03-07 21:21:25,00:02:05,,Sezon 6 (zwiastun): Outlander,TRAILER,Chrome PC (Cadmium),00:00:00,00:00:00,PL (Poland)
Magdalena,2022-03-07 06:54:13,00:26:32,,Kroniki Seinfelda: Sezon 7: Cadillac: części 1 i 2 (Odcinek 14),,Chrome PC (Cadmium),00:26:32,Not latest view,PL (Poland)
Magdalena,2022-03-06 23:58:30,00:00:47,Autoplayed: user action: None; ,Zwiastun: Chappelle's Home Team - Earthquake: Legendary,TRAILER,Chrome PC (Cadmium),00:00:47,00:00:47,PL (Poland)
Magdalena,2022-03-06 22:41:45,01:09:06,,Deon Cole: Cole Hearted,,Chrome PC (Cadmium),01:09:06,Not latest view,PL (Poland)
Magdalena,2022-03-06 08:30:11,00:22:54,,Kroniki Seinfelda: Sezon 7: Siódemka (Odcinek 13),,Chrome PC (Cadmium),00:22:54,00:22:54,PL (Poland)
Magdalena,2022-03-06 08:28:31,00:01:07,Autoplayed: user action: None; ,Deon Cole: Cole Hearted (zwiastun),TRAILER,Chrome PC (Cadmium),00:00:00,00:00:00,PL (Poland)
Magdalena,2022-03-05 17:52:56,00:00:51,Autoplayed: user action: None; ,The Secret: Dare to Dream_hook_03_16x9,HOOK,Chrome PC (Cadmium),00:00:55,00:00:55,PL (Poland)
Magdalena,2022-03-05 17:52:46,00:00:04,Autoplayed: user action: None; ,The Secret: Dare to Dream_hook_03_16x9,HOOK,Chrome PC (Cadmium),00:00:04,Not latest view,PL (Poland)
Magdalena,2022-03-05 17:52:29,00:00:08,Autoplayed: user action: None; ,Blue Lagoon: The Awakening_hook_04_16x9,HOOK,Chrome PC (Cadmium),00:00:08,00:00:08,PL (Poland)
Magdalena,2022-03-05 17:51:49,00:00:06,Autoplayed: user action: None; ,Endless Love_hook_02_16x9,HOOK,Chrome PC (Cadmium),00:00:06,00:00:06,PL (Poland)
Magdalena,2022-03-05 17:50:59,00:00:06,Autoplayed: user action: None; ,Hitch_hook_primary_16x9,HOOK,Chrome PC (Cadmium),00:00:06,00:00:06,PL (Poland)
Magdalena,2022-03-05 17:50:11,00:00:17,Autoplayed: user action: None; ,Jo Koy: Comin' In Hot (zwiastun),TRAILER,Chrome PC (Cadmium),00:00:17,00:00:17,PL (Poland)
Magdalena,2022-03-05 17:45:35,00:04:31,,The Standups: Sezon 3: Mark Normand (Odcinek 3),,Chrome PC (Cadmium),00:04:31,00:04:31,PL (Poland)
Magdalena,2022-03-05 17:27:40,00:17:51,,The Standups: Sezon 3: Naomi Ekperigin (Odcinek 2),,Chrome PC (Cadmium),00:17:56,00:17:56,PL (Poland)
Magdalena,2022-03-05 16:43:08,00:38:41,,The Standups: Sezon 3: Brian Simpson (Odcinek 1),,Chrome PC (Cadmium),00:29:07,00:29:07,PL (Poland)
Magdalena,2022-03-05 16:42:35,00:00:23,Autoplayed: user action: None; ,Sezon 1 (Klip): Dom czy ślub,HOOK,Chrome PC (Cadmium),00:00:23,00:00:23,PL (Poland)
Magdalena,2022-03-05 16:34:12,00:00:09,,Psi patrol: Sezon 6: Pieski ratują pingwiny w dżungli / Pieski ratują frachtowiec (Odcinek 1),,Chrome PC (Cadmium),00:00:09,00:00:09,PL (Poland)
Magdalena,2022-03-05 16:33:40,00:00:13,,Świnka Peppa: Sezon 6: Królowa / Bezludna wyspa / Perfumy / Festyn (Odcinek 1),,Chrome PC (Cadmium),00:00:13,00:00:13,PL (Poland)
Magdalena,2022-03-05 16:33:11,00:00:11,Autoplayed: user action: None; ,Sezon 1 (zwiastun): Kłamstwa i oszustwa,TRAILER,Chrome PC (Cadmium),00:00:11,00:00:11,PL (Poland)
Magdalena,2022-03-05 08:59:20,00:22:36,,Kroniki Seinfelda: Sezon 7: Asystent (Odcinek 12),,Chrome PC (Cadmium),00:22:36,00:22:36,PL (Poland)
Magdalena,2022-03-05 08:59:10,00:00:06,,Kroniki Seinfelda: Sezon 7: Chleb (Odcinek 11),,Chrome PC (Cadmium),00:00:06,00:00:06,PL (Poland)
Magdalena,2022-03-05 08:55:56,00:01:22,Autoplayed: user action: None; ,Sezon 1 (Klip): Aż wióry lecą,HOOK,Chrome PC (Cadmium),00:00:00,00:00:00,PL (Poland)
Magdalena,2022-03-04 23:13:12,00:00:10,Autoplayed: user action: None; ,Niewidzialna nić (Klip): Niewidzialna nić,HOOK,Chrome PC (Cadmium),00:00:10,00:00:10,PL (Poland)
Magdalena,2022-03-04 23:12:01,00:01:05,Autoplayed: user action: None; ,Sezon 1 (zwiastun): Układanka,TRAILER,Chrome PC (Cadmium),00:01:05,00:01:05,PL (Poland)
Magdalena,2022-03-04 21:08:32,01:54:26,,Hitch: Najlepszy doradca przeciętnego faceta,,Chrome PC (Cadmium),01:54:26,01:54:26,PL (Poland)
Magdalena,2022-03-04 21:08:24,00:00:04,Autoplayed: user action: None; ,Hitch_hook_primary_16x9,HOOK,Chrome PC (Cadmium),00:00:04,Not latest view,PL (Poland)
Magdalena,2022-03-04 21:07:32,00:00:09,Autoplayed: user action: None; ,Niewidzialna nić (Klip): Niewidzialna nić,HOOK,Chrome PC (Cadmium),00:00:09,Not latest view,PL (Poland)
Magdalena,2022-03-04 21:04:35,00:02:49,,Miłość jest ślepa: Sezon 1: Czy miłość jest ślepa? (Odcinek 1),,Chrome PC (Cadmium),00:02:56,00:02:56,PL (Poland)
Magdalena,2022-03-04 20:02:40,00:56:34,,Miłość jest ślepa: Sezon 2: Ponowne spotkanie (Odcinek 11),,Chrome PC (Cadmium),01:01:51,01:01:51,PL (Poland)
Magdalena,2022-03-04 20:02:25,00:00:07,,Miłość jest ślepa: Sezon 2: Śluby (Odcinek 10),,Chrome PC (Cadmium),01:10:53,01:10:53,PL (Poland)
Magdalena,2022-03-04 20:01:50,00:00:22,Autoplayed: user action: None; ,Sezon 1 (zwiastun): Układanka,TRAILER,Chrome PC (Cadmium),00:00:22,Not latest view,PL (Poland)
Magdalena,2022-03-04 19:58:57,00:00:34,Autoplayed: user action: None; ,Zwiastun: Taylor Tomlinson: Look At You,TRAILER,Chrome PC (Cadmium),00:00:34,00:00:34,PL (Poland)
Magdalena,2022-03-04 19:57:03,00:01:12,Autoplayed: user action: None; ,Sezon 1 (zwiastun): Układanka,TRAILER,Chrome PC (Cadmium),00:00:00,Not latest view,PL (Poland)
Magdalena,2022-03-04 05:58:43,00:08:20,,Kroniki Seinfelda: Sezon 7: Chleb (Odcinek 11),,Chrome PC (Cadmium),00:22:43,Not latest view,PL (Poland)
Magdalena,2022-03-04 05:57:55,00:00:40,Autoplayed: user action: None; ,Sezon 2 (zwiastun): L’Agence: Luksusowe nieruchomości,TRAILER,Chrome PC (Cadmium),00:00:40,Not latest view,PL (Poland)
Magdalena,2022-03-03 20:07:10,00:00:09,Autoplayed: user action: None; ,Sezon 1 (teaser nr 2): The Fame Game,TEASER_TRAILER,Chrome PC (Cadmium),00:00:09,00:00:09,PL (Poland)
Magdalena,2022-03-03 20:05:35,00:00:14,Autoplayed: user action: None; ,Zwiastun: Wyjazd na weekend,TRAILER,Chrome PC (Cadmium),00:00:14,00:00:14,PL (Poland)
Magdalena,2022-03-03 06:57:38,00:14:24,,Kroniki Seinfelda: Sezon 7: Chleb (Odcinek 11),,Chrome PC (Cadmium),00:14:24,Not latest view,PL (Poland)
Magdalena,2022-03-03 06:57:20,00:00:06,Autoplayed: user action: None; ,Main Character Intro Clip: My Wonderful Life,HOOK,Chrome PC (Cadmium),00:00:06,00:00:06,PL (Poland)
Magdalena,2022-03-03 06:56:37,00:00:37,Autoplayed: user action: None; ,Main Character Intro Clip: My Wonderful Life,HOOK,Chrome PC (Cadmium),00:00:00,Not latest view,PL (Poland)
Magdalena,2022-03-02 21:04:22,01:35:56,,jeen-yuhs: Trylogia Kanye: Sezon 1: Akt III: PRZEBUDZENIE (Odcinek 3),,Chrome PC (Cadmium),01:34:44,01:34:44,PL (Poland)
Magdalena,2022-03-02 21:04:10,00:00:05,Autoplayed: user action: None; ,Zwiastun: jeen-yuhs: Trylogia Kanye,TRAILER,Chrome PC (Cadmium),00:00:05,00:00:05,PL (Poland)
Magdalena,2022-03-02 06:55:04,00:22:47,,Kroniki Seinfelda: Sezon 7: Guma do żucia (Odcinek 10),,Chrome PC (Cadmium),00:22:47,00:22:47,PL (Poland)
Magdalena,2022-03-02 06:54:49,00:00:07,Autoplayed: user action: None; ,Sezon 1 (Klip): Strażnicy Sprawiedliwości,HOOK,Chrome PC (Cadmium),00:00:07,00:00:07,PL (Poland)
Magdalena,2022-03-01 21:06:03,00:14:25,,Mad Max,,Chrome PC (Cadmium),00:14:25,00:14:25,PL (Poland)
Magdalena,2022-03-01 21:00:10,00:00:11,Autoplayed: user action: None; ,Main Character Intro Clip: My Wonderful Life,HOOK,Chrome PC (Cadmium),00:00:11,Not latest view,PL (Poland)
Magdalena,2022-03-01 20:59:48,00:00:19,Autoplayed: user action: None; ,Sezon 1 (Klip): Strażnicy Sprawiedliwości,HOOK,Chrome PC (Cadmium),00:00:19,Not latest view,PL (Poland)
Magdalena,2022-03-01 20:43:35,00:01:36,Autoplayed: user action: None; ,Sezon 1 (zwiastun): Koszmarny lokator,TRAILER,Chrome PC (Cadmium),00:00:00,00:00:00,PL (Poland)
Magdalena,2022-03-01 06:57:40,00:22:42,,Kroniki Seinfelda: Sezon 7: Gąbka (Odcinek 9),,Chrome PC (Cadmium),00:22:42,00:22:42,PL (Poland)
Magdalena,2022-03-01 06:56:55,00:00:31,Autoplayed: user action: None; ,Chappelle's Home Team - Earthquake: Legendary (Klip nr 3): Chappelle's Home Team - Earthquake: Legendary,HOOK,Chrome PC (Cadmium),00:00:00,00:00:00,PL (Poland)
Magdalena,2022-02-28 22:12:40,01:02:30,,Anjelah Johnson: Not Fancy,,Chrome PC (Cadmium),01:03:22,01:03:22,PL (Poland)
Magdalena,2022-02-28 22:07:05,00:00:52,,Anjelah Johnson: Not Fancy,,Chrome PC (Cadmium),00:00:52,Not latest view,PL (Poland)
Magdalena,2022-02-28 22:06:52,00:00:06,Autoplayed: user action: None; ,Anjelah Johnson: Not Fancy (zwiastun),TRAILER,Chrome PC (Cadmium),00:00:07,00:00:07,PL (Poland)
Magdalena,2022-02-28 22:05:43,00:00:44,Autoplayed: user action: None; ,Jo Koy: Comin' In Hot (zwiastun),TRAILER,Chrome PC (Cadmium),00:00:44,Not latest view,PL (Poland)
Magdalena,2022-02-28 22:05:11,00:00:11,Autoplayed: user action: None; ,Amerykański mem (zwiastun),TRAILER,Chrome PC (Cadmium),00:00:11,00:00:11,PL (Poland)
Magdalena,2022-02-28 06:26:23,00:22:35,,Kroniki Seinfelda: Sezon 7: Basenowy (Odcinek 8),,Chrome PC (Cadmium),00:22:35,00:22:35,PL (Poland)
Magdalena,2022-02-28 06:24:59,00:01:10,Autoplayed: user action: None; ,Zwiastun: Biggie: I Got a Story to Tell,TRAILER,Chrome PC (Cadmium),00:01:10,00:01:10,PL (Poland)
Magdalena,2022-02-28 06:23:55,00:00:59,Autoplayed: user action: None; ,Amerykański mem (zwiastun),TRAILER,Chrome PC (Cadmium),00:00:00,Not latest view,PL (Poland)
Magdalena,2022-02-27 20:48:07,00:00:23,Autoplayed: user action: None; ,Zwiastun: Biggie: I Got a Story to Tell,TRAILER,Chrome PC (Cadmium),00:01:17,Not latest view,PL (Poland)
Magdalena,2022-02-27 20:47:10,00:01:06,Autoplayed: user action: None; ,Mike Birbiglia: The New One (CEE 3),HOOK,Chrome PC (Cadmium),00:01:06,00:01:06,PL (Poland)
Magdalena,2022-02-27 20:46:08,00:00:59,Autoplayed: user action: None; ,Amerykański mem (zwiastun),TRAILER,Chrome PC (Cadmium),00:00:00,Not latest view,PL (Poland)
Magdalena,2022-02-27 08:08:46,00:19:14,,Kroniki Seinfelda: Sezon 7: Kod do karty (Odcinek 7),,Chrome PC (Cadmium),00:22:58,00:22:58,PL (Poland)
Magdalena,2022-02-27 08:07:40,00:00:56,Autoplayed: user action: None; ,What the Love! with Karan Johar: Sezon 1 (zwiastun),TRAILER,Chrome PC (Cadmium),00:00:56,00:00:56,PL (Poland)
Magdalena,2022-02-27 08:07:03,00:00:33,Autoplayed: user action: None; ,Sezon 1 (Klip): Miłość i kłamstwa,HOOK,Chrome PC (Cadmium),00:00:00,00:00:00,PL (Poland)
Magdalena,2022-02-26 08:57:54,00:03:44,Autoplayed: user action: None; ,Kroniki Seinfelda: Sezon 7: Kod do karty (Odcinek 7),,Chrome PC (Cadmium),00:03:44,Not latest view,PL (Poland)
Magdalena,2022-02-26 08:49:55,00:06:37,,Kroniki Seinfelda: Sezon 7: Zupny naziol (Odcinek 6),,Chrome PC (Cadmium),00:22:40,00:22:40,PL (Poland)
Magdalena,2022-02-26 08:49:29,00:00:11,Autoplayed: user action: None; ,Zwiastun: Ronny Chieng: Asian Comedian Destroys America!,TRAILER,Chrome PC (Cadmium),00:00:11,00:00:11,PL (Poland)
Magdalena,2022-02-26 08:48:59,00:00:31,Autoplayed: user action: None; ,Lenox Hill: Season 1_VAR3-CONCRETE1_AGENCY1,TEASER_TRAILER,Chrome PC (Cadmium),00:00:00,00:00:00,PL (Poland)
Magdalena,2022-02-25 21:44:35,00:38:03,,Zaprowadź mnie do domu,,Chrome PC (Cadmium),00:38:03,00:38:03,PL (Poland)
Magdalena,2022-02-25 21:41:41,00:00:49,Autoplayed: user action: None; ,Dope: Season 2_hook_09_16x9,HOOK,Chrome PC (Cadmium),00:00:49,00:00:49,PL (Poland)
Magdalena,2022-02-25 21:39:48,00:00:10,,Biggie: I Got a Story to Tell,,Chrome PC (Cadmium),00:00:10,00:00:10,PL (Poland)
Magdalena,2022-02-25 21:38:06,00:00:18,Autoplayed: user action: None; ,Tiffany Haddish: Black Mitzvah (CEE 5),HOOK,Chrome PC (Cadmium),00:00:18,00:00:18,PL (Poland)
Magdalena,2022-02-25 21:36:56,00:01:11,Autoplayed: user action: None; ,Zwiastun: Zjazd rodzinny u Madei,TRAILER,Chrome PC (Cadmium),00:01:11,00:01:11,PL (Poland)
Magdalena,2022-02-25 20:35:34,00:51:45,,Miłość jest ślepa: Sezon 2: Śluby (Odcinek 10),,Chrome PC (Cadmium),01:10:46,Not latest view,PL (Poland)
Magdalena,2022-02-25 20:33:53,00:00:49,Autoplayed: user action: None; ,Sezon 1 (zwiastun nr 2): Wikingowie: Walhalla,TRAILER,Chrome PC (Cadmium),00:00:49,00:00:49,PL (Poland)
Magdalena,2022-02-25 06:05:05,00:16:16,,Kroniki Seinfelda: Sezon 7: Zupny naziol (Odcinek 6),,Chrome PC (Cadmium),00:16:16,Not latest view,PL (Poland)
Magdalena,2022-02-25 06:03:25,00:01:21,Autoplayed: user action: None; ,Powrót do eks: Sezon 1 (zwiastun),TRAILER,Chrome PC (Cadmium),00:00:00,00:00:00,PL (Poland)
Magdalena,2022-02-25 00:00:57,00:01:54,Autoplayed: user action: None; ,Miłość jest ślepa: Brazylia: Sezon 1: Razem lepiej (Odcinek 4),,Chrome PC (Cadmium),00:02:00,00:02:00,PL (Poland)
Magdalena,2022-02-24 23:02:47,00:58:09,,Miłość jest ślepa: Brazylia: Sezon 1: Seksowny miesiąc miodowy (Odcinek 3),,Chrome PC (Cadmium),00:58:15,00:58:15,PL (Poland)
Magdalena,2022-02-24 22:07:32,00:55:14,,"Miłość jest ślepa: Brazylia: Sezon 1: Tak, zgadzam się! (Odcinek 2)",,Chrome PC (Cadmium),00:55:20,00:55:20,PL (Poland)
Magdalena,2022-02-24 21:07:40,00:59:51,,Miłość jest ślepa: Brazylia: Sezon 1: Kabina miłości (Odcinek 1),,Chrome PC (Cadmium),00:59:51,00:59:51,PL (Poland)
Magdalena,2022-02-24 21:07:15,00:00:07,Autoplayed: user action: None; ,Zwiastun: Miłosne taktyki,TRAILER,Chrome PC (Cadmium),00:00:07,00:00:07,PL (Poland)
Magdalena,2022-02-24 21:06:15,00:00:38,Autoplayed: user action: None; ,Zwiastun: Whindersson Nunes: To właśnie ja,TRAILER,Chrome PC (Cadmium),00:00:38,00:00:38,PL (Poland)
Magdalena,2022-02-24 21:05:46,00:00:05,Autoplayed: user action: None; ,Zwiastun: Whindersson Nunes: To właśnie ja,TRAILER,Chrome PC (Cadmium),00:00:05,Not latest view,PL (Poland)
Magdalena,2022-02-24 06:32:21,00:22:48,,Kroniki Seinfelda: Sezon 7: Jacuzzi (Odcinek 5),,Chrome PC (Cadmium),00:22:48,00:22:48,PL (Poland)
Magdalena,2022-02-24 06:31:12,00:00:58,Autoplayed: user action: None; ,Zwiastun: Nate Bargatze: The Greatest Average American,TRAILER,Chrome PC (Cadmium),00:00:58,00:00:58,PL (Poland)
Magdalena,2022-02-23 22:11:21,01:29:09,,jeen-yuhs: Trylogia Kanye: Sezon 1: Akt II: CEL (Odcinek 2),,Chrome PC (Cadmium),01:29:16,Not latest view,PL (Poland)
Magdalena,2022-02-23 22:11:21,01:29:17,,jeen-yuhs: Trylogia Kanye: Sezon 1: Akt II: CEL (Odcinek 2),,Chrome PC (Cadmium),01:29:24,01:29:24,PL (Poland)
Magdalena,2022-02-23 22:10:22,00:00:49,Autoplayed: user action: None; ,Demetri Martin: The Overthinker (zwiastun),TRAILER,Chrome PC (Cadmium),00:00:49,00:00:49,PL (Poland)
Magdalena,2022-02-23 20:02:01,00:00:07,,jeen-yuhs: Trylogia Kanye: Sezon 1: Akt II: CEL (Odcinek 2),,Chrome PC (Cadmium),00:00:07,Not latest view,PL (Poland)
Magdalena,2022-02-23 20:01:31,00:00:05,Autoplayed: user action: None; ,Upadek: Sprawa Boeinga (Klip): Upadek: Sprawa Boeinga,HOOK,Chrome PC (Cadmium),00:00:05,00:00:05,PL (Poland)
Magdalena,2022-02-23 20:01:15,00:00:11,Autoplayed: user action: None; ,Inwazja kórlików: Misja na Marsa (Klip): Inwazja kórlików: Misja na Marsa,HOOK,Chrome PC (Cadmium),00:00:11,00:00:11,PL (Poland)
Magdalena,2022-02-23 07:17:49,00:00:04,Autoplayed: user action: None; ,Kroniki Seinfelda: Sezon 7: Jacuzzi (Odcinek 5),,Chrome PC (Cadmium),00:00:04,Not latest view,PL (Poland)
Magdalena,2022-02-23 06:57:42,00:14:25,,Kroniki Seinfelda: Sezon 7: Mruganie (Odcinek 4),,Chrome PC (Cadmium),00:22:41,00:22:41,PL (Poland)
Magdalena,2022-02-23 06:56:50,00:00:43,Autoplayed: user action: None; ,Trevor Noah: Son of Patricia (zwiastun),TRAILER,Chrome PC (Cadmium),00:00:43,00:00:43,PL (Poland)
Magdalena,2022-02-22 21:52:24,00:44:01,,Tiffany Haddish: She Ready! From the Hood To Hollywood!,,Chrome PC (Cadmium),00:44:01,00:44:01,PL (Poland)
Magdalena,2022-02-22 21:52:13,00:00:08,Autoplayed: user action: None; ,Tiffany Haddish: She Ready! From the Hood To Hollywood!_hook_primary_16x9,HOOK,Chrome PC (Cadmium),00:00:08,00:00:08,PL (Poland)
Magdalena,2022-02-22 21:50:09,00:00:58,Autoplayed: user action: None; ,Tom Segura: Disgraceful (zwiastun),TRAILER,Chrome PC (Cadmium),00:00:00,00:00:00,PL (Poland)
Magdalena,2022-02-22 19:54:43,00:00:49,Autoplayed: user action: None; ,Miniserial (Klip): Race: Bubba Wallace,HOOK,Chrome PC (Cadmium),00:00:00,00:00:00,PL (Poland)
Magdalena,2022-02-22 06:52:30,00:08:18,,Kroniki Seinfelda: Sezon 7: Mruganie (Odcinek 4),,Chrome PC (Cadmium),00:08:18,Not latest view,PL (Poland)
Magdalena,2022-02-21 05:51:43,00:22:47,,Kroniki Seinfelda: Sezon 7: Maestro (Odcinek 3),,Chrome PC (Cadmium),00:22:47,00:22:47,PL (Poland)
Magdalena,2022-02-21 05:48:22,00:01:30,Autoplayed: user action: None; ,"Ken Jeong: You Complete Me, Ho (zwiastun)",TRAILER,Chrome PC (Cadmium),00:00:00,00:00:00,PL (Poland)
Magdalena,2022-02-20 22:10:39,00:00:07,Autoplayed: user action: None; ,Tracy Morgan: Staying Alive (zwiastun),TRAILER,Chrome PC (Cadmium),00:00:07,00:00:07,PL (Poland)
Magdalena,2022-02-20 22:08:46,00:01:43,,Wierność: Sezon 1: Odcinek 6 (Odcinek 6),,Chrome PC (Cadmium),00:14:14,00:14:14,PL (Poland)
Magdalena,2022-02-20 22:05:12,00:03:20,,Wierność: Sezon 1: Odcinek 5 (Odcinek 5),,Chrome PC (Cadmium),00:20:00,00:20:00,PL (Poland)
Magdalena,2022-02-20 22:04:03,00:01:05,,Wierność: Sezon 1: Odcinek 4 (Odcinek 4),,Chrome PC (Cadmium),00:01:05,00:01:05,PL (Poland)
Magdalena,2022-02-20 22:00:50,00:03:06,,Wierność: Sezon 1: Odcinek 3 (Odcinek 3),,Chrome PC (Cadmium),00:30:32,00:30:32,PL (Poland)
Magdalena,2022-02-20 21:58:19,00:02:24,,Wierność: Sezon 1: Odcinek 2 (Odcinek 2),,Chrome PC (Cadmium),00:24:14,00:24:14,PL (Poland)
Magdalena,2022-02-20 21:53:37,00:03:13,,Wierność: Sezon 1: Odcinek 1 (Odcinek 1),,Chrome PC (Cadmium),00:34:27,00:34:27,PL (Poland)
Magdalena,2022-02-20 21:53:26,00:00:09,Autoplayed: user action: None; ,Sezon 1 (Klip): Wierność,HOOK,Chrome PC (Cadmium),00:00:09,00:00:09,PL (Poland)
Magdalena,2022-02-20 21:52:17,00:01:00,Autoplayed: user action: None; ,Zwiastun: Patton Oswalt: I Love Everything,TRAILER,Chrome PC (Cadmium),00:01:00,00:01:00,PL (Poland)
Magdalena,2022-02-20 21:52:06,00:00:04,Autoplayed: user action: None; ,Tracy Morgan: Staying Alive (zwiastun),TRAILER,Chrome PC (Cadmium),00:00:04,Not latest view,PL (Poland)
Magdalena,2022-02-20 21:51:51,00:00:07,,Terje Vigen,,Chrome PC (Cadmium),00:00:07,00:00:07,PL (Poland)
Magdalena,2022-02-20 21:50:44,00:00:05,Autoplayed: user action: None; ,Mo Gilligan: There's Mo to Life (Klip nr 3): Mo Gilligan: There's Mo to Life,HOOK,Chrome PC (Cadmium),00:00:05,00:00:05,PL (Poland)
